LAT;;;;;13.5500;13.5500;13.5500;13.5500
LON;;;;;-88.8167;-88.8167;-88.8167;-88.8167
ASL;;;;;481.000;481.000;481.000;481.000
CITY;;;;;India;India;India;India
DOMAIN;;;;;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM
LEVEL;;;;;2 m above gnd;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Total Precipitation (high resolution);Wind Speed;Wind Direction
UNIT;;;;;°C;mm;km/h;°
AGGREGATION;;;;;;;;
UTC_OFFSET;;;;;-6;-6;-6;-6

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;04;30;18;00;29.27;0.00;10.59;234.69
2019;04;30;19;00;27.95;0.00;9.45;220.36
2019;04;30;20;00;27.72;0.00;7.63;199.29
2019;04;30;21;00;27.18;0.00;5.94;194.04
2019;04;30;22;00;26.71;0.00;4.74;188.75
2019;04;30;23;00;26.75;0.00;5.35;222.27
2019;05;01;00;00;26.84;0.00;2.19;189.46
2019;05;01;01;00;26.85;0.00;3.10;54.46
2019;05;01;02;00;26.03;0.00;7.39;46.97
2019;05;01;03;00;24.91;0.00;8.67;41.63
2019;05;01;04;00;24.66;0.00;6.41;38.16
2019;05;01;05;00;24.77;0.00;4.35;24.44
2019;05;01;06;00;25.30;0.00;2.16;360.00
2019;05;01;07;00;26.26;0.00;7.42;14.04
2019;05;01;08;00;27.53;0.10;8.71;29.74
2019;05;01;09;00;29.44;0.00;7.39;46.97
2019;05;01;10;00;30.98;0.00;5.48;66.80
2019;05;01;11;00;32.16;0.00;4.35;65.56
2019;05;01;12;00;33.03;0.00;3.26;96.34
2019;05;01;13;00;34.09;0.00;3.32;130.60
2019;05;01;14;00;31.77;0.20;8.65;196.93
2019;05;01;15;00;30.17;0.30;14.69;210.96
2019;05;01;16;00;28.15;1.00;14.06;230.19
2019;05;01;17;00;28.90;0.00;11.61;240.26
2019;05;01;18;00;28.03;0.00;9.00;233.13
2019;05;01;19;00;26.90;0.00;11.25;230.19
2019;05;01;20;00;26.30;0.00;9.42;226.55
2019;05;01;21;00;26.42;0.00;6.88;227.12
2019;05;01;22;00;26.51;0.40;4.20;210.96
2019;05;01;23;00;25.97;1.50;5.15;167.91
2019;05;02;00;00;25.39;1.60;4.10;164.74
2019;05;02;01;00;25.25;1.90;1.30;123.69
2019;05;02;02;00;25.36;0.80;3.60;36.87
2019;05;02;03;00;25.39;0.70;5.48;23.20
2019;05;02;04;00;25.36;0.90;5.63;26.57
2019;05;02;05;00;25.03;3.00;4.84;48.01
2019;05;02;06;00;24.75;2.90;2.97;104.04
2019;05;02;07;00;25.26;2.10;6.03;17.35
2019;05;02;08;00;26.37;0.70;5.50;31.61
2019;05;02;09;00;28.67;0.00;2.90;60.26
2019;05;02;10;00;30.79;0.00;2.19;80.54
2019;05;02;11;00;32.09;0.00;3.32;130.60
2019;05;02;12;00;30.53;0.00;6.95;201.25
2019;05;02;13;00;28.99;0.40;17.28;215.68
2019;05;02;14;00;27.55;0.40;22.66;225.64
2019;05;02;15;00;27.05;0.30;17.88;229.90
2019;05;02;16;00;27.25;0.00;16.28;234.90
2019;05;02;17;00;26.40;0.00;13.04;242.02
2019;05;02;18;00;25.82;0.00;9.18;244.44
2019;05;02;19;00;25.20;0.00;7.39;226.97
2019;05;02;20;00;25.29;0.40;4.07;225.00
2019;05;02;21;00;25.59;0.80;2.60;213.69
2019;05;02;22;00;25.39;0.00;0.00;180.00
2019;05;02;23;00;25.62;0.30;1.61;26.57
2019;05;03;00;00;25.47;0.00;2.90;7.13
2019;05;03;01;00;25.97;0.60;2.88;360.00
2019;05;03;02;00;26.12;0.80;4.02;26.57
2019;05;03;03;00;25.84;0.90;5.99;32.74
2019;05;03;04;00;25.36;0.30;6.30;30.96
2019;05;03;05;00;24.87;0.30;5.86;42.51
2019;05;03;06;00;24.78;0.00;4.10;74.74
2019;05;03;07;00;25.15;1.50;5.32;28.30
2019;05;03;08;00;25.32;1.20;3.98;95.19
2019;05;03;09;00;27.60;0.20;6.30;149.04
2019;05;03;10;00;29.65;0.00;4.68;157.38
2019;05;03;11;00;31.01;0.00;5.41;176.19
2019;05;03;12;00;32.14;0.00;9.42;186.58
2019;05;03;13;00;32.62;0.00;10.14;196.50
2019;05;03;14;00;32.50;0.00;11.73;197.88
2019;05;03;15;00;31.45;0.00;15.46;204.78
2019;05;03;16;00;29.84;0.00;15.70;216.61
2019;05;03;17;00;28.27;0.00;15.07;220.16
2019;05;03;18;00;27.33;0.00;12.31;217.87
2019;05;03;19;00;25.94;0.00;7.41;240.95
2019;05;03;20;00;25.43;0.00;4.10;232.13
2019;05;03;21;00;25.40;0.00;3.88;248.20
2019;05;03;22;00;25.92;0.00;2.10;239.04
2019;05;03;23;00;26.04;0.00;1.48;194.04
2019;05;04;00;00;26.09;0.20;0.80;243.43
2019;05;04;01;00;25.79;0.00;1.80;306.87
2019;05;04;02;00;25.65;0.00;3.08;339.44
2019;05;04;03;00;25.44;0.00;3.76;16.70
2019;05;04;04;00;24.74;0.00;5.32;28.30
2019;05;04;05;00;24.38;0.00;6.76;25.20
2019;05;04;06;00;24.45;0.00;7.86;15.95
2019;05;04;07;00;26.43;0.00;8.79;34.99
2019;05;04;08;00;27.63;0.00;7.86;74.05
2019;05;04;09;00;28.91;0.00;6.62;112.38
2019;05;04;10;00;30.08;0.00;7.73;152.24
2019;05;04;11;00;30.94;0.00;12.65;175.10
2019;05;04;12;00;31.03;0.00;16.22;182.54
2019;05;04;13;00;29.56;0.00;17.46;194.32
2019;05;04;14;00;29.46;0.00;16.26;207.70
2019;05;04;15;00;29.43;0.00;15.07;220.16
2019;05;04;16;00;29.57;0.00;14.51;223.99
2019;05;04;17;00;28.69;0.00;14.00;223.96
2019;05;04;18;00;27.19;0.00;13.04;219.40
2019;05;04;19;00;25.79;0.00;11.53;218.66
2019;05;04;20;00;24.92;0.00;10.46;220.82
2019;05;04;21;00;24.28;0.00;7.65;221.19
2019;05;04;22;00;24.25;0.00;5.09;225.00
2019;05;04;23;00;24.48;0.00;3.10;215.54
